ticker,close,date,high,low,month,open,volume
SBIN,602.95,03-10-2023 05:30,604.9,589.6,2023-10,596.6,15322196
BAJFINANCE,7967.6,03-10-2023 05:30,7975.5,7755,2023-10,7780.8,944555
TITAN,3196.25,03-10-2023 05:30,3212.5,3114.4,2023-10,3148.8,1007308
ITC,439.75,03-10-2023 05:30,442.9,439.25,2023-10,441,7481883
TCS,3513.85,03-10-2023 05:30,3534.2,3480.1,2023-10,3534.2,1948148
LT,3073.25,03-10-2023 05:30,3077.45,2995.1,2023-10,3040.5,3254492
TATACONSUM,861.2,03-10-2023 05:30,868.75,853.49,2023-10,859.32,1168848
RELIANCE,1159.08,03-10-2023 05:30,1167.8,1158,2023-10,1164.97,8859056
HCLTECH,1238.7,03-10-2023 05:30,1256.7,1222.7,2023-10,1232.5,2162636
JSWSTEEL,770.25,03-10-2023 05:30,776.55,768,2023-10,776.55,1099773
ULTRACEMCO,8304.9,03-10-2023 05:30,8377,8221.2,2023-10,8289,454402
POWERGRID,199.55,03-10-2023 05:30,200,196.9,2023-10,198.75,10830728
INFY,1434,03-10-2023 05:30,1437,1420.3,2023-10,1436.05,4181867
TRENT,2059.1,03-10-2023 05:30,2086.3,2052,2023-10,2074.3,543387
AIRTEL,925.3,03-10-2023 05:30,928.25,916.05,2023-10,918.25,4338272
TATAMOTORS,620.45,03-10-2023 05:30,632.65,618.6,2023-10,632.6,6894577
WIPRO,405.45,03-10-2023 05:30,408.1,403.6,2023-10,406.45,2864052
TECHM,1216.2,03-10-2023 05:30,1230.7,1212.55,2023-10,1220.6,1622290
NTPC,241.2,03-10-2023 05:30,246.7,240.55,2023-10,244.35,14885044
HINDUNILVR,2468.9,03-10-2023 05:30,2499,2461.8,2023-10,2490,1585626
APOLLOHOSP,5118.95,03-10-2023 05:30,5154.95,5066,2023-10,5138.95,268482
M&M,1537.4,03-10-2023 05:30,1598,1533.05,2023-10,1597.2,3436776
GRASIM,1913.84,03-10-2023 05:30,1931.32,1899.1,2023-10,1920.46,591326
ICICIBANK,940.3,03-10-2023 05:30,951.6,939,2023-10,951.6,11131636
ADANIENT,2387.25,03-10-2023 05:30,2424.9,2372,2023-10,2418,2019899
ADANIPORTS,831.4,03-10-2023 05:30,836.75,824.25,2023-10,826,2453090
BEL,139.2,03-10-2023 05:30,140.6,137.2,2023-10,137.9,19010910
BAJAJFINSV,1561.05,03-10-2023 05:30,1564.2,1527,2023-10,1530.25,1083086
EICHERMOT,3351.4,03-10-2023 05:30,3434.95,3302.9,2023-10,3426.9,1354075
COALINDIA,291.9,03-10-2023 05:30,297.1,290.1,2023-10,297.05,9348540
MARUTI,10346.9,03-10-2023 05:30,10709.8,10303.3,2023-10,10709.8,623006
INDUSINDBK,1435.4,03-10-2023 05:30,1438.4,1420,2023-10,1432,1442499
ASIANPAINT,3166.85,03-10-2023 05:30,3227.8,3162,2023-10,3166.1,1219145
TATASTEEL,128,03-10-2023 05:30,129.1,127.25,2023-10,129,18613557
HDFCLIFE,633.55,03-10-2023 05:30,637.5,628.55,2023-10,634.45,3454441
DRREDDY,1092.34,03-10-2023 05:30,1117.38,1090,2023-10,1117.38,2065240
SUNPHARMA,1141.45,03-10-2023 05:30,1161.95,1139.25,2023-10,1159.55,1946966
KOTAKBANK,1727.05,03-10-2023 05:30,1735,1715.45,2023-10,1730,5534869
SHRIRAMFIN,1921.95,03-10-2023 05:30,1939.9,1881,2023-10,1938,2207907
NESTLEIND,2231.52,03-10-2023 05:30,2259.47,2225.52,2023-10,2250.69,500130
ONGC,184.6,03-10-2023 05:30,189.3,183.65,2023-10,189.3,22118500
CIPLA,1182.8,03-10-2023 05:30,1185.7,1170.95,2023-10,1184,1581125
BPCL,170.68,03-10-2023 05:30,174.6,170.43,2023-10,174.25,10514554
BRITANNIA,4495.45,03-10-2023 05:30,4553.25,4486.6,2023-10,4524.8,543482
SBILIFE,1292.45,03-10-2023 05:30,1302.15,1282.65,2023-10,1302.15,1282289
HINDALCO,479.95,03-10-2023 05:30,484.55,476.6,2023-10,483.1,4657602
HEROMOTOCO,3015.6,03-10-2023 05:30,3064.9,2991.5,2023-10,3058,387906
AXISBANK,1041.05,03-10-2023 05:30,1044.7,1032.6,2023-10,1035,11589322
HDFCBANK,1508.05,03-10-2023 05:30,1527,1506,2023-10,1527,19485847
BAJAJ-AUTO,5016.45,03-10-2023 05:30,5073,4997.1,2023-10,5065,464531
SBIN,586.25,04-10-2023 05:30,600.45,584.45,2023-10,600,24914612
BAJFINANCE,7854.05,04-10-2023 05:30,8043,7820,2023-10,8025,1176384
TITAN,3166.65,04-10-2023 05:30,3205,3151,2023-10,3186,486969
ITC,436.1,04-10-2023 05:30,441.7,433.3,2023-10,439.75,13396709
TCS,3537.75,04-10-2023 05:30,3548,3477.3,2023-10,3486.3,1788138
LT,3027.75,04-10-2023 05:30,3064.1,2990.05,2023-10,3064.1,3100946
TATACONSUM,854.13,04-10-2023 05:30,859.17,844.5,2023-10,856.36,615431
